No.;Params;Barito_Putera;Borneo;Rata_Tim;Minimal;Maximal;;;;;;;;;;
1;AVG_Total;2,91;2,47;2,88;2;3;;;;;;;;;;
2;Goal_Match;1,5;1,56;1,44;1;2;;;;;;;;;;
3;Goal_Match_Home;1,65;1,94;1,67;1;2;;;;;;;;;;
4;Goal_Match_Away;1,35;1,18;1,21;1;2;;;;;;;;;;
5;Condeded_Goal;1,41;0,91;1,44;0;2;;;;;;;;;;
6;Condeded_Match_Home;1,06;0,94;1,21;0;2;;;;;;;;;;
7;Condeded_Match_Away;1,76;0,88;1,67;0;2;;;;;;;;;;
8;Clean_Sheets;8;13;8;5;15;;;;;;;;;;
9;CS_%;24;38;23;20;40;;;;;;;;;;
10;CS%_Home;41;35;28;25;45;;;;;;;;;;
11;CS%_Away;6;41;17;0;45;;;;;;;;;;
12;FTS;4;3;8;0;10;;;;;;;;;;
13;FTS_%;12;9;22;5;30;;;;;;;;;;
14;FTS%_Home;12;6;17;5;30;;;;;;;;;;
15;FTS%_Away;12;12;28;5;30;;;;;;;;;;
16;xG;1,49;1,35;1,32;0;2;;;;;;;;;;
17;xGA;1,32;1,16;1,36;0;2;;;;;;;;;;
